Product_Review,predicted_gpt35
"Rating: 5, Comments: Very useful but calibration facility not available even to date",negative
"Rating: 5, Comments: The rate offered was much lower than Amazon and Flipkart. Purchased again the same model. Took a 6V adapter, which is just as the batteries needed are 4 numbers. Alkaline batteries are costly and a 6V adapter would be a good choice.
Overall, trusted brand, with an awesome price at Snapdeal and value for money.No regrets.",positive
"Rating: 4, Comments: Nice product its genuine....it is a good conpany OMRON..👌🔥for 2090/-...nice NO DOUTS GO FOR IT",positive
"Rating: 5, Comments: Awesome , accurate",positive
"Rating: 5, Comments: Better product
Best Quality
Easy to use 
Good",positive
"Rating: 5, Comments: Excellent deals",positive
"Rating: 4, Comments: Product received and is good",positive
"Rating: 5, Comments: Purchased in 2017 till date (2021) working excellent with minimal error. Consumption of battery is low.",positive
"Rating: 5, Comments: very good product",positive
"Rating: 4, Comments: Hem7120. Monitor working good",positive
"Rating: 5, Comments: Accurate and perfect.",positive
"Rating: 5, Comments: I AM HAPPY WITH THE PURCHASE",positive
"Rating: 5, Comments: Best for money",positive
"Rating: 5, Comments: I like this product, good accuracy n reliable",positive
"Rating: 5, Comments: Excellent Working",positive
"Rating: 5, Comments: Great product",positive
"Rating: 4, Comments: I have been using this product for almost a year.Recently I changed the cell.It is giving me a good service. I am satisfied.",positive
"Rating: 4, Comments: Worth for money",positive
"Rating: 5, Comments: Good one still running well",positive
"Rating: 5, Comments: Its very purposeful.",positive
"Rating: 5, Comments: Value for the money",positive
"Rating: 5, Comments: Good item useful for health check-up BP, heart at our owntime at home",positive
"Rating: 1, Comments: Hand cliff air leakage problem from sewing bad quality of cliff.",negative
"Rating: 4, Comments: Good looking and feeling better and more 😊 thanks for this",positive
"Rating: 5, Comments: The machine is in full working conditions for the last 4 yearsbattery consumption is low 4 pcs of Battery are in use I recommend for purchase of this item",positive
"Rating: 5, Comments: Very good👍",positive
"Rating: 5, Comments: Amazing and accurate machine with great packaging by Snapdeal,luv to see it it will be great ahead if charger include ,ok fine enough worth of money",positive
"Rating: 5, Comments: Good product... Gave almost same measurements in a day at multiple ti",positive
"Rating: 5, Comments: Iam so satisfied with this now iam no worry about my blood pressure and I suggest buy this product from snapdeal",positive
"Rating: 5, Comments: I LOVE SNAPDEAL SERVICE . AND PRODUCT ALSO GOOD.",positive
"Rating: 5, Comments: Awsome product",positive
"Rating: 5, Comments: GOOD AND EASY TO OPERATE",positive
"Rating: 4, Comments: Very very nice",positive
"Rating: 5, Comments: Delivered good",positive
"Rating: 5, Comments: Very good and nice quality",positive
"Rating: 4, Comments: Good product",positive
"Rating: 5, Comments: Nice. Its working",positive
"Rating: 4, Comments: very good product",positive
"Rating: 5, Comments: Using it since Dec. 2015. Still working properly.",positive
"Rating: 4, Comments: Good Product and Good Work",positive
"Rating: 5, Comments: Received before time but the warranty card has not been stamped, can u plz help for the same .",negative
"Rating: 4, Comments: Good product",positive
"Rating: 5, Comments: Received timely and good product",positive
"Rating: 4, Comments: Reasonable price",positive
"Rating: 5, Comments: good product",positive
"Rating: 5, Comments: Nice product",positive
"Rating: 4, Comments: Value for money",positive
"Rating: 5, Comments: In time delivery..",positive
"Rating: 3, Comments: This is better .",positive
"Rating: 5, Comments: Nice product and easy to use",positive
"Rating: 1, Comments: Bad quality",negative
"Rating: 4, Comments: Very good pro4",positive
"Rating: 5, Comments: this product was very nice. i love it",positive
