Rating,Comments,Product Name,scores,type,compound,pos,neg
5,Very useful but calibration facility not available even to date,omran 7120,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2724}",POS,0.2724,0.189,0.0
5,"The rate offered was much lower than Amazon and Flipkart. Purchased again the same model. Took a 6V adapter, which is just as the batteries needed are 4 numbers. Alkaline batteries are costly and a 6V adapter would be a good choice.",omran 7120,"{'neg': 0.085, 'neu': 0.806, 'pos': 0.109, 'compound': 0.25}",POS,0.25,0.109,0.085
4,Nice product its genuine....it is a good conpany OMRON.for 2090/-...nice NO DOUTS GO FOR IT,omran 7120,"{'neg': 0.149, 'neu': 0.56, 'pos': 0.29, 'compound': 0.4151}",POS,0.4151,0.29,0.149
5,"Awesome , accurate",omran 7120,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",POS,0.6249,0.804,0.0
5,Better product,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
5,Excellent deals,omran 7120,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",POS,0.5719,0.787,0.0
4,Product received and is good,omran 7120,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",POS,0.4404,0.42,0.0
5,Purchased in 2017 till date (2021) working excellent with minimal error. Consumption of battery is low.,omran 7120,"{'neg': 0.223, 'neu': 0.605, 'pos': 0.172, 'compound': -0.0258}",NEG,-0.0258,0.172,0.223
5,very good product,omran 7120,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",POS,0.4927,0.615,0.0
4,Hem7120. Monitor working good,omran 7120,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",POS,0.4404,0.492,0.0
5,Accurate and perfect.,omran 7120,"{'neg': 0.0, 'neu': 0.351, 'pos': 0.649, 'compound': 0.5719}",POS,0.5719,0.649,0.0
5,I AM HAPPY WITH THE PURCHASE,omran 7120,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.5719}",POS,0.5719,0.481,0.0
5,Best for money,omran 7120,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",POS,0.6369,0.677,0.0
5,"I like this product, good accuracy n reliable",omran 7120,"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.6597}",POS,0.6597,0.574,0.0
5,Excellent Working,omran 7120,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",POS,0.5719,0.787,0.0
5,Great product,omran 7120,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",POS,0.6249,0.804,0.0
4,I have been using this product for almost a year.Recently I changed the cell.It is giving me a good service. I am satisfied.,omran 7120,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.7964}",POS,0.7964,0.351,0.0
4,Worth for money,omran 7120,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}",POS,0.2263,0.487,0.0
5,Good one still running well,omran 7120,"{'neg': 0.0, 'neu': 0.375, 'pos': 0.625, 'compound': 0.6124}",POS,0.6124,0.625,0.0
5,Its very purposeful.,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
5,Value for the money,omran 7120,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.34}",POS,0.34,0.444,0.0
5,"Good item useful for health check-up BP, heart at our owntime at home",omran 7120,"{'neg': 0.0, 'neu': 0.655, 'pos': 0.345, 'compound': 0.7003}",POS,0.7003,0.345,0.0
1,Hand cliff air leakage problem from sewing bad quality of cliff.,omran 7120,"{'neg': 0.356, 'neu': 0.46, 'pos': 0.184, 'compound': -0.4588}",NEG,-0.4588,0.184,0.356
4,Good looking and feeling better and more 😊 thanks for this,omran 7120,"{'neg': 0.0, 'neu': 0.364, 'pos': 0.636, 'compound': 0.8588}",POS,0.8588,0.636,0.0
5,The machine is in full working conditions for the last 4 yearsbattery consumption is low 4 pcs of Battery are in use I recommend for purchase of this item,omran 7120,"{'neg': 0.073, 'neu': 0.839, 'pos': 0.087, 'compound': 0.1027}",POS,0.1027,0.087,0.073
5,Very good👍,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
5,"Amazing and accurate machine with great packaging by Snapdeal,luv to see it it will be great ahead if charger include ,ok fine enough worth of money",omran 7120,"{'neg': 0.0, 'neu': 0.528, 'pos': 0.472, 'compound': 0.9509}",POS,0.9509,0.472,0.0
5,Good product... Gave almost same measurements in a day at multiple ti,omran 7120,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",POS,0.4404,0.225,0.0
5,Iam so satisfied with this now iam no worry about my blood pressure and I suggest buy this product from snapdeal,omran 7120,"{'neg': 0.277, 'neu': 0.606, 'pos': 0.117, 'compound': -0.4951}",NEG,-0.4951,0.117,0.277
5,I LOVE SNAPDEAL SERVICE . AND PRODUCT ALSO GOOD.,omran 7120,"{'neg': 0.0, 'neu': 0.413, 'pos': 0.587, 'compound': 0.7964}",POS,0.7964,0.587,0.0
5,Awsome product,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
5,GOOD AND EASY TO OPERATE,omran 7120,"{'neg': 0.0, 'neu': 0.341, 'pos': 0.659, 'compound': 0.7003}",POS,0.7003,0.659,0.0
4,Very very nice,omran 7120,"{'neg': 0.0, 'neu': 0.372, 'pos': 0.628, 'compound': 0.5222}",POS,0.5222,0.628,0.0
5,Delivered good,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
5,Very good and nice quality,omran 7120,"{'neg': 0.0, 'neu': 0.324, 'pos': 0.676, 'compound': 0.7397}",POS,0.7397,0.676,0.0
4,Good product,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
5,Nice. Its working,omran 7120,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}",POS,0.4215,0.583,0.0
4,very good product,omran 7120,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",POS,0.4927,0.615,0.0
5,Using it since Dec. 2015. Still working properly.,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
4,Good Product and Good Work,omran 7120,"{'neg': 0.0, 'neu': 0.341, 'pos': 0.659, 'compound': 0.7003}",POS,0.7003,0.659,0.0
5,"Received before time but the warranty card has not been stamped, can u plz help for the same .",omran 7120,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.6124}",POS,0.6124,0.25,0.0
4,Good product,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
5,Received timely and good product,omran 7120,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",POS,0.4404,0.42,0.0
4,Reasonable price,omran 7120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",NEUTRAL,0.0,0.0,0.0
5,good product,omran 7120,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",POS,0.4404,0.744,0.0
