Rating,Comments,Product Name,sentiment
5,Very useful but calibration facility not available even to date,omran 7120,"{'label': '5 stars', 'score': 0.8575653433799744}"
5,"The rate offered was much lower than Amazon and Flipkart. Purchased again the same model. Took a 6V adapter, which is just as the batteries needed are 4 numbers. Alkaline batteries are costly and a 6V adapter would be a good choice.",omran 7120,"{'label': '5 stars', 'score': 0.6334669589996338}"
4,Nice product its genuine....it is a good conpany OMRON.for 2090/-...nice NO DOUTS GO FOR IT,omran 7120,"{'label': '2 stars', 'score': 0.44176724553108215}"
5,"Awesome , accurate",omran 7120,"{'label': '5 stars', 'score': 0.9521372318267822}"
5,Better product,omran 7120,"{'label': '5 stars', 'score': 0.8575653433799744}"
5,Excellent deals,omran 7120,"{'label': '5 stars', 'score': 0.8015826344490051}"
4,Product received and is good,omran 7120,"{'label': '5 stars', 'score': 0.8437656164169312}"
5,Purchased in 2017 till date (2021) working excellent with minimal error. Consumption of battery is low.,omran 7120,"{'label': '2 stars', 'score': 0.3511746823787689}"
5,very good product,omran 7120,"{'label': '5 stars', 'score': 0.6937230825424194}"
4,Hem7120. Monitor working good,omran 7120,"{'label': '5 stars', 'score': 0.9064953923225403}"
5,Accurate and perfect.,omran 7120,"{'label': '4 stars', 'score': 0.6577397584915161}"
5,I AM HAPPY WITH THE PURCHASE,omran 7120,"{'label': '5 stars', 'score': 0.9112626910209656}"
5,Best for money,omran 7120,"{'label': '5 stars', 'score': 0.8647007346153259}"
5,"I like this product, good accuracy n reliable",omran 7120,"{'label': '4 stars', 'score': 0.6519996523857117}"
5,Excellent Working,omran 7120,"{'label': '5 stars', 'score': 0.8240969181060791}"
5,Great product,omran 7120,"{'label': '4 stars', 'score': 0.35343867540359497}"
4,I have been using this product for almost a year.Recently I changed the cell.It is giving me a good service. I am satisfied.,omran 7120,"{'label': '5 stars', 'score': 0.807473361492157}"
4,Worth for money,omran 7120,"{'label': '5 stars', 'score': 0.8859654664993286}"
5,Good one still running well,omran 7120,"{'label': '5 stars', 'score': 0.7481244802474976}"
5,Its very purposeful.,omran 7120,"{'label': '4 stars', 'score': 0.4894537031650543}"
5,Value for the money,omran 7120,"{'label': '5 stars', 'score': 0.6457496285438538}"
5,"Good item useful for health check-up BP, heart at our owntime at home",omran 7120,"{'label': '5 stars', 'score': 0.6010998487472534}"
1,Hand cliff air leakage problem from sewing bad quality of cliff.,omran 7120,"{'label': '1 star', 'score': 0.7527218461036682}"
4,Good looking and feeling better and more 😊 thanks for this,omran 7120,"{'label': '5 stars', 'score': 0.8325275182723999}"
5,The machine is in full working conditions for the last 4 yearsbattery consumption is low 4 pcs of Battery are in use I recommend for purchase of this item,omran 7120,"{'label': '5 stars', 'score': 0.7928134799003601}"
5,Very good👍,omran 7120,"{'label': '5 stars', 'score': 0.6991849541664124}"
